ID,DATE,TIME,company_name,job_title,job_location
1,2024-05-07,14:41:48,Cynet Systems,Python Developer,"Montreal, Quebec, Canada"
2,2024-05-07,14:41:48,Indotronix International Corp,Angular UI Developer,"Montreal, Quebec, Canada"
3,2024-05-07,14:41:48,Cynet Systems,Full Stack Developer,"Toronto, Ontario, Canada"
4,2024-05-07,14:41:48,Techgene Solutions LLC,Axiom Developer,"Montreal, Quebec, Canada"
5,2024-05-07,14:41:48,Alphosoft Inc,"Senior Java Developer, Montreal, QC, Canada","Montreal, Quebec, Canada"
6,2024-05-07,14:41:48,Cynet Systems,Senior Software Developer,"Toronto, Ontario, Canada"
7,2024-05-07,14:41:48,CIENA Corporation,Embedded Software Developer,"Ottawa, Ontario, Canada"
8,2024-05-07,14:41:48,Xoriant Corporation,UI Developer / React JS Developer / Full stack Developer,"Montreal, Quebec, Canada"
9,2024-05-07,14:41:48,"R Systems, Inc.",Golang Developer,"Montreal, Quebec, Canada"
10,2024-05-07,14:41:48,Collabera LLC,Low Latency Developer,"Toronto, Ontario, Canada"
11,2024-05-07,14:41:48,DBA Web Technologies,"DB2 Developer (IBM DB2, Database Maintenance, Performance Optimization, Python, Data Modeling) in Montreal, Canada (hybrid)","Montreal, Quebec, Canada"
12,2024-05-07,14:41:48,Cynet Systems,DotNet Developer,"Toronto, Ontario, Canada"
13,2024-05-07,14:41:48,Amiseq Inc.,OCL Cloud Migration - Software Developer,"Toronto, Ontario, Canada"
14,2024-05-07,14:41:48,Rekruitd,UI/UX Angular Developer,"Toronto, Ontario, Canada"
15,2024-05-07,14:41:48,"Alltech Consulting Services, Inc.",iOS Hybrid App Developer,"Calgary, Alberta, Canada"
16,2024-05-07,14:41:48,Workiy Inc,Programmer/Developer,"Burnaby, British Columbia, Canada"
17,2024-05-07,14:41:48,K-Tek Resourcing LLC,ITX Developer,"Calgary, Alberta, Canada"
18,2024-05-07,14:41:48,"Motion Recruitment Partners, LLC",Embedded C++ Developer,"Toronto, Ontario, Canada"
19,2024-05-07,14:41:48,"Sky Systems, Inc. (SkySys)",Application Developer (Splunk SME),"Toronto, Ontario, Canada"
20,2024-05-07,14:41:48,Prolifics,Axiom Developer,"Montreal, Quebec, Canada"
21,2024-05-07,14:41:48,"Capgemini America, Inc.",Scala Developer,"Québec City, Quebec, Canada"
22,2024-05-07,14:41:48,Nigel Frank International,Applications Developer - Business Central,"Hamilton, Ontario, Canada"
23,2024-05-07,14:41:48,"Motion Recruitment Partners, LLC",Full Stack Software Developer (Svelte/TypeScript/Node),"Toronto, Ontario, Canada"
24,2024-05-07,14:41:48,Yash Technologies,".NET,Azure PaaS Developer","Toronto, Ontario, Canada"
25,2024-05-07,14:41:48,"Alltech Consulting Services, Inc.",Full Stack Developer,"Calgary, Alberta, Canada"
26,2024-05-07,14:41:48,CIENA Corporation,Waveserver Software Developer,"Ottawa, Ontario, Canada"
27,2024-05-07,14:41:48,Virtusa Corporation,"Senior Spark Developer at Mississauga, ON, Canada","Mississauga, Ontario, Canada"
28,2024-05-07,14:41:48,"Motion Recruitment Partners, LLC",Senior Full Stack Developer (React/TypeScript/Node) (Toronto/Hybrid),"Toronto, Ontario, Canada"
29,2024-05-07,14:41:48,"Next Level Business Services, Inc.",Gen Al Developer,"Montreal, Quebec, Canada"
30,2024-05-07,14:41:48,Luxoft USA Inc,"Senior Java Developer with (Mongo\Angular JS), NodeJS","Toronto, Ontario, Canada"
31,2024-05-07,14:41:48,Amiseq Inc.,WebSphere Developer,"Toronto, Ontario, Canada"
32,2024-05-07,14:41:48,"Next Level Business Services, Inc.",Power Platform Developer,"Montreal, Quebec, Canada"
33,2024-05-07,14:41:48,Net2Source Inc.,Software Developer,"Bath, New Brunswick, Canada"
34,2024-05-07,14:41:48,Amiseq Inc.,Full Stack Developer,"Toronto, Ontario, Canada"
35,2024-05-07,14:41:48,Amiseq Inc.,Senior Software Developer,"Toronto, Ontario, Canada"
36,2024-05-07,14:41:48,Net2Source Inc.,Full Stack Developer with Kotlin,"Vancouver, British Columbia, Canada"
37,2024-05-07,14:41:48,Amiseq Inc.,Senior Full Stack Software Developer,"Peterborough, Ontario, Canada"
38,2024-05-07,14:41:48,CIENA Corporation,PET Developer,"Remote or Saskatchewan, Canada"
39,2024-05-07,14:41:48,CIENA Corporation,Senior Information Developer - Technical Writer,"Ottawa, Ontario, Canada"
40,2024-05-07,14:41:48,BCforward,React JS developer,"Toronto, Ontario, Canada"
