ID,DATE,TIME,company_name,job_title,job_location,company_link
1,2024-05-21,12:35:16,CIENA Corporation,Embedded Software Developer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
2,2024-05-21,12:35:16,Amiseq Inc.,OCL Cloud Migration - Software Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
3,2024-05-21,12:35:16,"Alltech Consulting Services, Inc.",iOS Hybrid App Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10114281?companyname=Alltech%20Consulting%20Services%2C%20Inc.
4,2024-05-21,12:35:16,Infomatics Corp,Golang Developer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10289532?companyname=Infomatics%20Corp
5,2024-05-21,12:35:16,Prolifics,Senior Angular Developer with Java & Python experience.,"Montreal, Quebec, Canada",https://www.dice.com/company/prolific?companyname=Prolifics
6,2024-05-21,12:35:16,Net2Source Inc.,Java Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10271304?companyname=Net2Source%20Inc.
7,2024-05-21,12:35:16,Prolifics,Full Stack Java Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/prolific?companyname=Prolifics
8,2024-05-21,12:35:16,K-Tek Resourcing LLC,ITX Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10411276?companyname=K-Tek%20Resourcing%20LLC
9,2024-05-21,12:35:16,Virtusa Corporation,"Senior Spark Developer at Mississauga, ON, Canada","Mississauga, Ontario, Canada",https://www.dice.com/company/10115393?companyname=Virtusa%20Corporation
10,2024-05-21,12:35:16,Virtusa Corporation,"Java Full Stack Developer at Mississauga, ON, Canada","Mississauga, Ontario, Canada",https://www.dice.com/company/10115393?companyname=Virtusa%20Corporation
11,2024-05-21,12:35:16,Amiseq Inc.,Salesforce/ Software Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
12,2024-05-21,12:35:16,Amiseq Inc.,Senior Full Stack Software Developer,"Peterborough, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
13,2024-05-21,12:35:16,Amiseq Inc.,Full Stack Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
14,2024-05-21,12:35:16,"Alltech Consulting Services, Inc.",Full Stack Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10114281?companyname=Alltech%20Consulting%20Services%2C%20Inc.
15,2024-05-21,12:35:16,Amiseq Inc.,Sr. Software Developer(Jira Migration to Cloud Project support),"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
16,2024-05-21,12:35:16,Net2Source Inc.,Mulesoft Developer/ Lead,"Mississauga, Ontario, Canada",https://www.dice.com/company/10271304?companyname=Net2Source%20Inc.
