ID,DATE,TIME,company_name,job_title,job_location
1,2024-05-07,14:41:48,Cynet Systems,Python Developer,"Montreal, Quebec, Canada"
2,2024-05-07,14:41:48,Indotronix International Corp,Angular UI Developer,"Montreal, Quebec, Canada"
3,2024-05-07,14:41:48,Techgene Solutions LLC,Axiom Developer,"Montreal, Quebec, Canada"
4,2024-05-07,14:41:48,Alphosoft Inc,"Senior Java Developer, Montreal, QC, Canada","Montreal, Quebec, Canada"
5,2024-05-07,14:41:48,CIENA Corporation,Embedded Software Developer,"Ottawa, Ontario, Canada"
6,2024-05-07,14:41:48,Xoriant Corporation,UI Developer / React JS Developer / Full stack Developer,"Montreal, Quebec, Canada"
7,2024-05-07,14:41:48,"R Systems, Inc.",Golang Developer,"Montreal, Quebec, Canada"
8,2024-05-07,14:41:48,Collabera LLC,Low Latency Developer,"Toronto, Ontario, Canada"
9,2024-05-07,14:41:48,DBA Web Technologies,"DB2 Developer (IBM DB2, Database Maintenance, Performance Optimization, Python, Data Modeling) in Montreal, Canada (hybrid)","Montreal, Quebec, Canada"
10,2024-05-07,14:41:48,Amiseq Inc.,OCL Cloud Migration - Software Developer,"Toronto, Ontario, Canada"
11,2024-05-07,14:41:48,Rekruitd,UI/UX Angular Developer,"Toronto, Ontario, Canada"
12,2024-05-07,14:41:48,"Alltech Consulting Services, Inc.",iOS Hybrid App Developer,"Calgary, Alberta, Canada"
13,2024-05-07,14:41:48,Workiy Inc,Programmer/Developer,"Burnaby, British Columbia, Canada"
14,2024-05-07,14:41:48,K-Tek Resourcing LLC,ITX Developer,"Calgary, Alberta, Canada"
15,2024-05-07,14:41:48,"Motion Recruitment Partners, LLC",Embedded C++ Developer,"Toronto, Ontario, Canada"
16,2024-05-07,14:41:48,"Sky Systems, Inc. (SkySys)",Application Developer (Splunk SME),"Toronto, Ontario, Canada"
17,2024-05-07,14:41:48,Prolifics,Axiom Developer,"Montreal, Quebec, Canada"
18,2024-05-07,14:41:48,"Capgemini America, Inc.",Scala Developer,"Québec City, Quebec, Canada"
19,2024-05-07,14:41:48,Nigel Frank International,Applications Developer - Business Central,"Hamilton, Ontario, Canada"
20,2024-05-07,14:41:48,Yash Technologies,".NET,Azure PaaS Developer","Toronto, Ontario, Canada"
21,2024-05-07,14:41:48,Virtusa Corporation,"Senior Spark Developer at Mississauga, ON, Canada","Mississauga, Ontario, Canada"
22,2024-05-07,14:41:48,"Next Level Business Services, Inc.",Gen Al Developer,"Montreal, Quebec, Canada"
23,2024-05-07,14:41:48,Luxoft USA Inc,"Senior Java Developer with (Mongo\Angular JS), NodeJS","Toronto, Ontario, Canada"
24,2024-05-07,14:41:48,Net2Source Inc.,Software Developer,"Bath, New Brunswick, Canada"
25,2024-05-07,14:41:48,BCforward,React JS developer,"Toronto, Ontario, Canada"
