ID,DATE,TIME,company_name,job_title,job_location,company_link
1,2024-05-21,12:35:16,CIENA Corporation,Embedded Software Developer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10293994?companyname=CIENA%20Corporation
2,2024-05-21,12:35:16,Amiseq Inc.,OCL Cloud Migration - Software Developer,"Toronto, Ontario, Canada",https://www.dice.com/company/90989446?companyname=Amiseq%20Inc.
3,2024-05-21,12:35:16,"Alltech Consulting Services, Inc.",iOS Hybrid App Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10114281?companyname=Alltech%20Consulting%20Services%2C%20Inc.
4,2024-05-21,12:35:16,Infomatics Corp,Golang Developer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10289532?companyname=Infomatics%20Corp
5,2024-05-21,12:35:16,Prolifics,Senior Angular Developer with Java & Python experience.,"Montreal, Quebec, Canada",https://www.dice.com/company/prolific?companyname=Prolifics
6,2024-05-21,12:35:16,Net2Source Inc.,Java Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10271304?companyname=Net2Source%20Inc.
7,2024-05-21,12:35:16,K-Tek Resourcing LLC,ITX Developer,"Calgary, Alberta, Canada",https://www.dice.com/company/10411276?companyname=K-Tek%20Resourcing%20LLC
8,2024-05-21,12:35:16,Virtusa Corporation,"Senior Spark Developer at Mississauga, ON, Canada","Mississauga, Ontario, Canada",https://www.dice.com/company/10115393?companyname=Virtusa%20Corporation
9,2024-05-21,12:35:16,RedMane Technology LLC,Application Developer,"Ottawa, Ontario, Canada",https://www.dice.com/company/10151331?companyname=RedMane%20Technology%20LLC
10,2024-05-21,12:35:16,Azaaki Solutions,"(For Canada Only) Full Stack, Front End, Back End Developer","Mississauga, Ontario, Canada",https://www.dice.com/company/91159823?companyname=Azaaki%20Solutions
11,2024-05-21,12:35:16,Emp IT Solutions,Software Developer - Mobile - Senior,"Toronto, Ontario, Canada",https://www.dice.com/company/91157085?companyname=Emp%20IT%20Solutions
12,2024-05-21,12:35:16,"V-Soft Consulting Group, Inc",Developer/Architect (Azure) - Re-Open,"Toronto, Ontario, Canada",https://www.dice.com/company/vsky001?companyname=V-Soft%20Consulting%20Group%2C%20Inc
13,2024-05-21,12:35:16,Mason Frank,Salesforce Full Stack Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/10371697M?companyname=Mason%20Frank
14,2024-05-21,12:35:16,"NTT DATA Americas, Inc",SQL Developer - (Remote Role),"Remote or Vancouver, British Columbia, Canada",https://www.dice.com/company/CUEDATA?companyname=NTT%20DATA%20Americas%2C%20Inc
15,2024-05-21,12:35:16,Cynet Systems,Java Spring Boot Developer,"Mississauga, Ontario, Canada",https://www.dice.com/company/10516350?companyname=Cynet%20Systems
16,2024-05-21,12:35:16,Xoriant Corporation,UI Developer / React JS Developer / Full stack Developer,"Montreal, Quebec, Canada",https://www.dice.com/company/xorca001?companyname=Xoriant%20Corporation
